	nTconv_1	mTconv_1	nTreg_1	eTreg_1	nTconv_2	mTconv_2	nTreg_2	eTreg_2	nTconv_3	mTconv_3	nTreg_3	eTreg_3
MCTP1	16.5253309017666	8.28023145938448	10.2782679940414	0	1.6530198464536	0	0.757523993676679	0	3.23665488497445	4.52479425675144	2.95984650821979	0.520257722518665
MCTP2	21.6284955782023	16.9977607167432	36.526471650039	26.6677051351769	34.8847619957507	31.1711259837088	59.9773988031435	31.6903047708791	29.3219850234465	47.1805212604458	42.6668466549467	22.2333660191996
MCTS1	157.387129786652	153.270352947624	164.474966877388	112.772617636501	148.962013292268	107.95676302484	192.646781656184	98.6562560814508	143.658041721434	158.923386699561	132.559829040167	106.778939813263
MCTS2P	64.2941708281385	48.6689792867371	80.8922231411433	50.5320323344769	88.3974241498987	22.5936318375365	151.499310001944	48.6739066024867	78.5511469735068	48.5666705689606	54.1136628620901	67.9861281869195
MCU	55.2044245145392	68.7496082133003	98.4483554473971	59.546620029823	67.5202777327817	84.1014816505229	109.805354839838	99.1826999296557	89.6971114726199	138.753320447904	123.56485244639	122.702618568857
MCUB	1058.50972600621	1019.57559465098	935.505294926155	588.305911989817	664.790577802241	602.954553228637	903.590481834425	514.822757135969	794.61733371607	1116.13324501417	800.792374425779	495.782216410392
MCUR1	58.5961929381491	56.0046719368076	59.0447831604932	83.7567051431624	63.7622833585139	53.9256751754918	95.9015921717063	99.1514391132266	58.8424080558779	104.81939284981	44.6530958799587	82.1422111163769
MDC1	168.751725949592	88.7916767438487	134.76979542571	91.7562871005193	233.743387835403	128.225794981523	301.487314334756	230.661820573343	153.190581540117	183.664038852189	155.270327600093	126.410144992058
MDFI	0	0	0	0	0	0	0	0	0	0	0	0
MDFIC	292.20986655178	558.410187799953	532.967664559406	513.103768348229	340.499651633764	576.571720643246	658.24570120825	499.429565958853	425.884310349172	773.463144131249	537.204646058196	493.775124271869
MDFIC2	0	0	0	0	0	0	0	0	0	0	0	0
MDGA1	0	0.0823348993267343	0	0.192049127736421	62.3031227471905	112.289876026786	93.992957354981	117.818099547762	0	0.196844771611575	0.798157871003654	3.79566504351811
MDGA2	0.164747683587386	0.554069803444905	0.169581907606617	0.612262578613372	1.01133607533635	0.998033817802012	0.345593239548908	0	1.0789254674775	0.31931600653981	0.770190157613089	0.358415852159152
MDH1	791.785820221865	819.708542821966	726.37574142165	848.772274712972	609.687646534258	731.248836195805	962.04951052211	1012.92433666852	677.996066439601	1284.0226356519	948.660454521783	1175.33336023678
MDH1B	2.29353656764197	3.41240415426368	2.94685734015731	4.80870600757573	2.79231314914124	2.90873096921414	5.71118466517123	2.84608151480278	1.33105549792412	1.68652931714279	1.92597098559262	4.73720007654575
MDH2	842.81528600874	695.098675990907	583.230015531661	530.72533669157	397.770771837544	523.747038156736	658.761904765875	613.601415223341	447.550807685842	831.776253207846	498.780982810423	609.70286159632
MDK	93.4255644770078	41.3035182291066	40.5099266936808	44.2894720045584	50.446978031501	69.994973431843	71.1613890282475	26.6938389352478	84.6860212753079	97.0309655166431	44.9010142805002	80.4914240387098
MDM1	76.5708285444118	79.5463991075384	105.689638265931	77.2092915353184	90.3423104649403	62.5752791872858	149.744372851123	101.895610543737	91.3533383407715	102.982759181789	122.863452440968	93.1402362545473
MDM2	190.381202322401	303.604443547505	270.825335488646	297.564369559135	363.803168298717	348.593418269876	612.258873725035	498.807699953099	307.438037802826	579.264826474172	366.398248560454	477.926073327797
MDM4	997.645226151165	971.293659203389	1166.78166416576	803.378873848437	1568.41652325031	961.130037334	2399.66951163421	1439.10614033297	1359.53692799528	1709.59630117101	1275.41442336839	1479.4726475551
MDN1	293.920101337308	282.898383541477	315.140713918998	114.157146509875	221.377080006987	279.134441057466	400.157696752722	196.616522480426	300.967625756876	488.264363540926	388.086796450338	204.699394420002
MDP1	116.198673171934	75.4264798624916	64.1104268562163	67.9032427978138	79.4394221919335	39.6180727854651	71.0307230330824	82.9153226668025	74.305719584333	104.12047399578	46.2474803476398	66.0366379730449
ME1	0	1.90323642881955	0	0	0.388182145624555	5.37409677000968	0	0	0	0.737199350852721	0	0
ME2	215.816845745459	312.206815209184	250.787852838678	214.474993154871	206.115978187366	218.609675353513	348.782915851144	199.57820785933	192.889727495623	310.35627506859	245.130529413681	216.342309912627
ME3	64.4804185619261	15.2720875485544	19.6223376188892	2.63092498265096	41.7639527376545	18.5378741688665	33.0502242838684	4.72134937916481	116.255303430326	47.3390591803319	68.868455656921	18.1042744503119
